[2024-09-09 11:31:19,241][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmphzu3fm6g
[2024-09-09 11:31:19,241][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmphzu3fm6g/_remote_module_non_scriptable.py
[2024-09-09 11:31:21,012][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-09 11:31:21,014][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-09 11:31:21,015][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-09 11:31:21,016][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-09 11:31:21,027][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-09 11:31:21,045][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-09 11:31:21,263][hydra.utils][INFO] - Starting training!
[2024-09-09 15:34:35,097][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-09 15:34:42,563][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-09 15:34:42,602][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpngf61_2y
[2024-09-09 15:34:42,602][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpngf61_2y/_remote_module_non_scriptable.py
[2024-09-09 15:34:44,136][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-09 15:34:44,137][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-09 15:34:44,138][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-09 15:34:44,139][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-09 15:34:44,143][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-09 15:34:44,156][hydra.utils][INFO] - found checkpoint: /opt/wty/hof_synthesis/HOF/MOFDiff/mofdiff/data/mof_models/bb/bwdb_bb/last.ckpt
[2024-09-09 15:34:44,156][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-09 15:34:44,392][hydra.utils][INFO] - Starting training!
[2024-09-09 15:37:42,803][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-09 15:37:44,591][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-09 15:37:44,636][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpufmc8b7t
[2024-09-09 15:37:44,636][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpufmc8b7t/_remote_module_non_scriptable.py
[2024-09-09 15:37:46,626][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-09 15:37:46,627][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-09 15:37:46,627][hydra.utils][INFO] - Adding callback <EarlyStopping>
